locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType
339557,Kennedy_Inem_Kennedy,pm1,24.3,2023-02-02T04:17:13+00:00,2023-02-01T23:17:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,44,2023-02-02T04:17:13+00:00,2023-02-01T23:17:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T04:17:13+00:00,2023-02-01T23:17:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,36.7,2023-02-02T04:17:13+00:00,2023-02-01T23:17:13-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.75,2023-02-02T04:17:13+00:00,2023-02-01T23:17:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T04:17:13+00:00,2023-02-01T23:17:13-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um100,0,2023-02-02T04:01:12+00:00,2023-02-01T23:01:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T04:01:12+00:00,2023-02-01T23:01:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,24.4,2023-02-02T04:01:12+00:00,2023-02-01T23:01:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,45.3,2023-02-02T04:01:12+00:00,2023-02-01T23:01:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,37.6,2023-02-02T04:01:12+00:00,2023-02-01T23:01:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um010,2.85,2023-02-02T04:01:12+00:00,2023-02-01T23:01:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,um025,0,2023-02-02T03:59:12+00:00,2023-02-01T22:59:12-05:00,particles/cm³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm1,24.4,2023-02-02T03:59:12+00:00,2023-02-01T22:59:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm10,45.8,2023-02-02T03:59:12+00:00,2023-02-01T22:59:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
339557,Kennedy_Inem_Kennedy,pm25,37.9,2023-02-02T03:59:12+00:00,2023-02-01T22:59:12-05:00,µg/m³,4.625189,-74.15489,CO,,false,,community,low-cost sensor
