locationId,location,parameter,value,date/utc,date/local,unit,coordinates/latitude,coordinates/longitude,country,city,isMobile,isAnalysis,entity,sensorType,dayOfWeek
339545,Tunjuelito_Cemex,pm25,15.8,2023-02-06T11:39:33+00:00,2023-02-06T06:39:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,8.7,2023-02-06T11:37:33+00:00,2023-02-06T06:37:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,6.4,2023-02-06T11:35:33+00:00,2023-02-06T06:35:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,16.4,2023-02-06T11:33:33+00:00,2023-02-06T06:33:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,25.3,2023-02-06T11:31:33+00:00,2023-02-06T06:31:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,27.5,2023-02-06T11:29:33+00:00,2023-02-06T06:29:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,22.9,2023-02-06T11:27:33+00:00,2023-02-06T06:27:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,23.7,2023-02-06T11:25:33+00:00,2023-02-06T06:25:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,16.9,2023-02-06T11:23:33+00:00,2023-02-06T06:23:33-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,23.8,2023-02-06T11:21:32+00:00,2023-02-06T06:21:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,21.6,2023-02-06T11:19:32+00:00,2023-02-06T06:19:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,27,2023-02-06T11:17:32+00:00,2023-02-06T06:17:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,32.1,2023-02-06T11:15:32+00:00,2023-02-06T06:15:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,25.2,2023-02-06T11:13:32+00:00,2023-02-06T06:13:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,37.2,2023-02-06T11:11:32+00:00,2023-02-06T06:11:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,12.6,2023-02-06T11:09:32+00:00,2023-02-06T06:09:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,10,2023-02-06T11:07:32+00:00,2023-02-06T06:07:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
339545,Tunjuelito_Cemex,pm25,3.8,2023-02-06T11:05:32+00:00,2023-02-06T06:05:32-05:00,µg/m³,4.546176,-74.13629,CO,,false,,community,low-cost sensor,lunes
