locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
222263,"SALITRE","pm10",13.6,"2023-03-15T23:35:11+00:00","2023-03-15T18:35:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.69,"2023-03-15T23:29:11+00:00","2023-03-15T18:29:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:29:11+00:00","2023-03-15T18:29:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.6,"2023-03-15T23:29:11+00:00","2023-03-15T18:29:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.6,"2023-03-15T23:29:11+00:00","2023-03-15T18:29:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T23:29:11+00:00","2023-03-15T18:29:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.4,"2023-03-15T23:29:11+00:00","2023-03-15T18:29:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.6,"2023-03-15T23:27:11+00:00","2023-03-15T18:27:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.7,"2023-03-15T23:27:11+00:00","2023-03-15T18:27:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.7,"2023-03-15T23:27:11+00:00","2023-03-15T18:27:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.8,"2023-03-15T23:27:11+00:00","2023-03-15T18:27:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:27:11+00:00","2023-03-15T18:27:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.03,"2023-03-15T23:27:11+00:00","2023-03-15T18:27:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.66,"2023-03-15T23:25:11+00:00","2023-03-15T18:25:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.3,"2023-03-15T23:25:11+00:00","2023-03-15T18:25:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:25:11+00:00","2023-03-15T18:25:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.3,"2023-03-15T23:25:11+00:00","2023-03-15T18:25:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.04,"2023-03-15T23:25:11+00:00","2023-03-15T18:25:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.5,"2023-03-15T23:25:11+00:00","2023-03-15T18:25:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",12.6,"2023-03-15T23:23:11+00:00","2023-03-15T18:23:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.02,"2023-03-15T23:23:11+00:00","2023-03-15T18:23:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.65,"2023-03-15T23:23:11+00:00","2023-03-15T18:23:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:23:11+00:00","2023-03-15T18:23:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",9.6,"2023-03-15T23:23:11+00:00","2023-03-15T18:23:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",13.2,"2023-03-15T23:23:11+00:00","2023-03-15T18:23:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.78,"2023-03-15T23:17:11+00:00","2023-03-15T18:17:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:17:11+00:00","2023-03-15T18:17:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",15.4,"2023-03-15T23:17:11+00:00","2023-03-15T18:17:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",16.3,"2023-03-15T23:17:11+00:00","2023-03-15T18:17:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.04,"2023-03-15T23:17:11+00:00","2023-03-15T18:17:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",11.7,"2023-03-15T23:17:11+00:00","2023-03-15T18:17:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:13:11+00:00","2023-03-15T18:13:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.9,"2023-03-15T23:13:11+00:00","2023-03-15T18:13:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.72,"2023-03-15T23:13:11+00:00","2023-03-15T18:13:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um025",0.04,"2023-03-15T23:13:11+00:00","2023-03-15T18:13:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",14.3,"2023-03-15T23:13:11+00:00","2023-03-15T18:13:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",15.4,"2023-03-15T23:13:11+00:00","2023-03-15T18:13:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm10",14.5,"2023-03-15T23:11:11+00:00","2023-03-15T18:11:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm1",10.3,"2023-03-15T23:11:11+00:00","2023-03-15T18:11:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um100",0,"2023-03-15T23:11:11+00:00","2023-03-15T18:11:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","um010",0.69,"2023-03-15T23:11:11+00:00","2023-03-15T18:11:11-05:00","particles/cm³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
222263,"SALITRE","pm25",13.8,"2023-03-15T23:11:11+00:00","2023-03-15T18:11:11-05:00","µg/m³",4.6445,-74.10104,"CO","",false,"","community","low-cost sensor"
